Date;XBTUSD BGNL Curncy  (R1);XDHUSD Curncy  (L2);XEOUSD Curncy  (R2);XETUSD Curncy  (R3);XLCUSD Curncy  (L2);XMR Curncy  (L2);XRPUSD Curncy  (L1);XZCUSD Curncy  (L2)
02-03-21;48612.83;221.567;3.7079;1552.199;179.403;222.5;0.4388;122.42
01-03-21;48609.28;208.535;3.6233;1521.88;171.108;220.255;0.4346;119.079
28-02-21;43174.04;;;;;;;
27-02-21;47088.36;;;;;;;
26-02-21;47681.9;205.672;3.5428;1429.92;167.558;199.685;0.4235;115.6
25-02-21;49533.94;232.043;3.9397;1591.973;192.535;205.375;0.4638;133.643
24-02-21;50080.86;245.018;3.9541;1661.91;183.88;214.51;0.4734;134.008
23-02-21;47151.88;220.818;3.7461;1519.293;168.35;195.506;0.4736;120.635
22-02-21;52071.24;256.409;4.4995;1679.265;196.178;213.64;0.5784;137.403
21-02-21;57538.44;;;;;;;
20-02-21;57065.83;;;;;;;
19-02-21;54773.74;329.267;5.1368;1958.468;238.088;277.418;0.5604;179.02
18-02-21;51834.72;286.78;4.8182;1916.87;224.795;256.225;0.5305;170.358
17-02-21;51381.38;253.981;4.7889;1819.003;227.415;250.606;0.548;164.5
16-02-21;48276.43;253.316;4.5188;1753.588;206.723;215.62;0.5184;155.21
15-02-21;48560.2;264.704;5.0074;1818.195;217.073;228.29;0.581;170.692
14-02-21;48669.36;;;;;;;
13-02-21;46895.79;;;;;;;
12-02-21;47790.45;165.586;4.8114;1851.314;195.078;204.521;0.587;143.776
11-02-21;47411.99;160.697;4.4216;1783.968;186.143;188.926;0.5215;147.48
10-02-21;45046.08;136.384;3.9833;1740.903;179.815;170.322;0.4976;114.955
09-02-21;46548.08;130.326;3.8838;1742.203;174.293;169.775;0.4693;106.975
08-02-21;43148.86;123.533;3.514;1708.898;162.415;156.4;0.4495;95.936
07-02-21;37912.99;;;;;;;
06-02-21;40258.45;;;;;;;
05-02-21;37924.63;119.064;3.252;1720.615;152.988;153.134;0.4446;94.313
04-02-21;36927.11;112.028;3.0573;1633.2;145.713;151.13;0.4393;90.365
03-02-21;37234.11;114.302;3.1107;1641.149;155.973;154.225;0.3954;95.68
02-02-21;34873.7;107.08;2.9755;1473.415;143.345;146.608;0.3773;92.18
