idx;date;EUR001M;EUR002M;EUR006M;EUR012M
44313;27-04-2021;-0.55800;-0.53500;-0.51800;-0.48400
44312;26-04-2021;-0.55600;-0.53800;-0.51400;-0.47700
44309;23-04-2021;-0.55700;-0.53900;-0.51500;-0.47600
44308;22-04-2021;-0.55500;-0.53900;-0.51500;-0.47600
44307;21-04-2021;-0.55400;-0.53500;-0.51300;-0.47600
44306;20-04-2021;-0.55800;-0.53800;-0.51300;-0.47300
44305;19-04-2021;-0.55200;-0.53700;-0.51300;-0.47800
44302;16-04-2021;-0.55300;-0.53800;-0.51100;-0.47800
44301;15-04-2021;-0.56100;-0.53700;-0.51200;-0.47800
44300;14-04-2021;-0.55000;-0.53800;-0.50900;-0.48200
44299;13-04-2021;-0.54900;-0.53800;-0.52300;-0.49300
44298;12-04-2021;-0.55800;-0.53800;-0.51700;-0.49000
44295;9-04-2021;-0.55900;-0.54400;-0.52200;-0.49700
44294;8-04-2021;-0.55600;-0.54500;-0.51800;-0.49300
44293;7-04-2021;-0.55300;-0.54300;-0.51700;-0.49200
44292;6-04-2021;-0.55000;-0.53800;-0.51700;-0.49600
44287;1-04-2021;-0.55100;-0.53800;-0.51200;-0.48800
44286;31-03-2021;-0.55600;-0.53800;-0.50900;-0.48400
44285;30-03-2021;-0.55500;-0.54000;-0.51900;-0.49400
44284;29-03-2021;-0.54500;-0.53600;-0.51300;-0.48800
44281;26-03-2021;-0.55000;-0.53700;-0.51400;-0.48900
44280;25-03-2021;-0.55100;-0.53800;-0.51400;-0.48700
44279;24-03-2021;-0.54900;-0.53500;-0.51600;-0.49300
44278;23-03-2021;-0.55200;-0.53700;-0.51800;-0.49300
44277;22-03-2021;-0.54900;-0.53800;-0.51800;-0.49100
44274;19-03-2021;-0.55300;-0.53900;-0.51500;-0.48300
44273;18-03-2021;-0.55500;-0.54000;-0.51900;-0.48700
44272;17-03-2021;-0.55300;-0.54300;-0.52000;-0.48500
