 ;EUR001M Inde;EUR003M Inde;EUR006M Inde;EUR009M Inde;EUR012M Inde;EUR002M Inde;
03-01-21;-.553;-.533;-.508;;-.478;; 
02/26/2021;-.547;-.530;-.516;;-.483;; 
01/29/2021;-.571;-.548;-.531;;-.512;; 
12/31/2020;-.554;-.545;-.526;;-.499;; 
11/30/2020;-.551;-.526;-.508;;-.487;; 
10/30/2020;-.548;-.523;-.521;;-.489;; 
09/30/2020;-.529;-.498;-.480;;-.443;; 
08/31/2020;-.522;-.477;-.448;;-.383;; 
07/31/2020;-.510;-.463;-.407;;-.333;; 
06/30/2020;-.510;-.422;-.308;;-.225;; 
05/29/2020;-.482;-.307;-.158;;-.085;; 
04/30/2020;-.460;-.273;-.170;;-.118;; 
03/31/2020;-.423;-.363;-.287;;-.171;; 
02/28/2020;-.488;-.424;-.386;;-.311;; 
01/31/2020;-.454;-.393;-.338;;-.284;; 
12/31/2019;-.438;-.383;-.324;;-.249;; 
11/29/2019;-.437;-.401;-.343;;-.273;; 
10/31/2019;-.437;-.394;-.337;;-.273;; 
09/30/2019;-.457;-.418;-.386;;-.330;; 
08/30/2019;-.427;-.433;-.428;;-.383;; 
07/31/2019;-.392;-.375;-.362;;-.303;; 
06/28/2019;-.388;-.345;-.311;;-.214;; 
05/31/2019;-.378;-.322;-.250;;-.168;; 
04/30/2019;-.367;-.310;-.231;;-.114;;
03/29/2019;-.367;-.311;-.228;;-.112;;
02/28/2019;-.368;-.309;-.229;;-.108;;
01/31/2019;-.368;-.308;-.236;;-.109;;
12/31/2018;-.363;-.309;-.237;;-.117;;
11/30/2018;-.368;-.316;-.251;-.194;-.146;-.336;
10/31/2018;-.369;-.318;-.259;-.198;-.149;-.336;
09/28/2018;-.371;-.318;-.268;-.208;-.159;-.338;
08/31/2018;-.369;-.319;-.268;-.208;-.166;-.339;
07/31/2018;-.369;-.319;-.268;-.217;-.178;-.336;
06/29/2018;-.370;-.321;-.270;-.214;-.181;-.337;
05/31/2018;-.369;-.321;-.269;-.213;-.184;-.339;
04/30/2018;-.371;-.329;-.269;-.220;-.189;-.341;
03/30/2018;-.372;-.328;-.271;-.220;-.190;-.341;
02/28/2018;-.370;-.327;-.270;-.222;-.191;-.341;
01/31/2018;-.369;-.328;-.279;-.222;-.191;-.341;
12/29/2017;-.368;-.329;-.271;-.217;-.186;-.340;
11/30/2017;-.371;-.329;-.272;-.220;-.188;-.340;
10/31/2017;-.372;-.331;-.276;-.221;-.185;-.341;
09/29/2017;-.372;-.329;-.273;-.220;-.172;-.339;
08/31/2017;-.373;-.329;-.273;-.213;-.161;-.339;
07/31/2017;-.370;-.330;-.271;-.207;-.151;-.340;
06/30/2017;-.373;-.331;-.271;-.197;-.156;-.342;
05/31/2017;-.374;-.329;-.254;-.181;-.131;-.342;
04/28/2017;-.374;-.329;-.249;-.179;-.121;-.340;
03/31/2017;-.373;-.329;-.241;-.171;-.109;-.339;
02/28/2017;-.371;-.330;-.239;-.172;-.114;-.341;
01/31/2017;-.372;-.327;-.243;-.159;-.101;-.340;
