idx;date;US0001;US0003;US0006;US00012
44309;23-04-21;0.11100;0.18138;0.20413;0.28088
44308;22-04-21;0.10613;0.17575;0.21063;0.28075
44307;21-04-21;0.11025;0.17288;0.21650;0.28225
44306;20-04-21;0.10750;0.18375;0.22263;0.287
44305;19-04-21;0.11375;0.18600;0.22175;0.28675
44302;16-04-21;0.11588;0.18825;0.22363;0.29238
44301;15-04-21;0.11500;0.18975;0.21763;0.28775
44300;14-04-21;0.11563;0.18363;0.21938;0.28675
44299;13-04-21;0.11463;0.18375;0.21950;0.28775
44298;12-04-21;0.11225;0.18575;0.21463;0.28438
44295;09-04-21;0.11125;0.18750;0.21138;0.28575
44294;08-04-21;0.11050;0.18775;0.21075;0.28675
44293;07-04-21;0.11250;0.19363;0.21000;0.28525
44292;06-04-21;0.11013;0.19738;0.20100;0.28625
44287;01-04-21;0.11038;0.19975;0.20125;0.2805
44286;31-03-21;0.11113;0.19425;0.20525;0.28313
44285;30-03-21;0.11513;0.20163;0.20675;0.28663
44284;29-03-21;0.10850;0.20250;0.20288;0.2815
44281;26-03-21;0.10725;0.19900;0.20325;0.28075
44280;25-03-21;0.10913;0.19300;0.20388;0.28075
44279;24-03-21;0.11025;0.19513;0.20950;0.28
44278;23-03-21;0.10863;0.20063;0.20538;0.27938
44277;22-03-21;0.10738;0.19050;0.20413;0.27625
44274;19-03-21;0.10838;0.19688;0.20238;0.27625
44273;18-03-21;0.11088;0.18663;0.20388;0.27588
44272;17-03-21;0.11025;0.18963;0.20300;0.28088
44271;16-03-21;0.10813;0.19000;0.19788;0.28075
44270;15-03-21;0.10750;0.18200;0.19750;0.281
44267;12-03-21;0.10613;0.18950;0.19400;0.27813
44266;11-03-21;0.10600;0.18388;0.19275;0.27725
44265;10-03-21;0.10588;0.18413;0.19363;0.27863
44264;09-03-21;0.10713;0.17725;0.18950;0.27963
44263;08-03-21;0.10600;0.18250;0.19625;0.28025
44260;05-03-21;0.10325;0.18538;0.19588;0.27775
44259;04-03-21;0.10350;0.17550;0.20325;0.28375
44258;03-03-21;0.10300;0.19375;0.21100;0.282
44257;02-03-21;0.10838;0.18338;0.20675;0.279
44256;01-03-21;0.10925;0.18425;0.20050;0.28363
44253;26-02-21;0.11850;0.18838;0.20300;0.28375
44252;25-02-21;0.11513;0.19050;0.20063;0.28025
44251;24-02-21;0.11450;0.18975;0.19938;0.278
44250;23-02-21;0.11763;0.18750;0.20375;0.28463
44249;22-02-21;0.11488;0.17550;0.20400;0.2855
44246;19-02-21;0.11550;0.17525;0.19500;0.2865
44245;18-02-21;0.11113;0.18238;0.19688;0.291
44244;17-02-21;0.11100;0.18138;0.19775;0.29613
44243;16-02-21;0.10825;0.18863;0.20263;0.30263
44239;12-02-21;0.10738;0.19375;0.20075;0.29975
44238;11-02-21;0.11225;0.19763;0.20838;0.30363
44237;10-02-21;0.10950;0.20088;0.20800;0.30513
44236;09-02-21;0.11588;0.20250;0.20800;0.30563
44235;08-02-21;0.12050;0.19538;0.20750;0.30638
44232;05-02-21;0.11888;0.19088;0.20700;0.30413
44231;04-02-21;0.12350;0.19263;0.22250;0.306
44230;03-02-21;0.11325;0.19513;0.22375;0.306
44229;02-02-21;0.11525;0.19225;0.21713;0.30413
44228;01-02-21;0.11300;0.19550;0.21500;0.3055
44225;29-01-21;0.11950;0.20188;0.22325;0.31113
44224;28-01-21;0.12288;0.20500;0.22013;0.31075
44223;27-01-21;0.12075;0.21150;0.22763;0.312
44222;26-01-21;0.12250;0.21850;0.23450;0.3115
44221;25-01-21;0.12750;0.21288;0.23300;0.31225
